Date : 2025-10-09 08:40:31
Directory : /home/moura/projetos/projetos_web/nexus-agents
Total : 314 files,  63474 codes, 2136 comments, 7643 blanks, all 73253 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| tmp/frontend_backup/src/app/dashboard                                                                                          |         11 |      1,676 |        105 |        219 |      2,000 |
| tmp/frontend_backup/src/app/dashboard (Files)                                                                                  |          2 |        279 |         22 |         39 |        340 |
| tmp/frontend_backup/src/app/dashboard/agents                                                                                   |          3 |        250 |         10 |         37 |        297 |
| tmp/frontend_backup/src/app/dashboard/agents (Files)                                                                           |          2 |        178 |          5 |         21 |        204 |
| tmp/frontend_backup/src/app/dashboard/agents/[id]                                                                              |          1 |         72 |          5 |         16 |         93 |
| tmp/frontend_backup/src/app/dashboard/attendants                                                                               |          2 |        174 |         17 |         22 |        213 |
| tmp/frontend_backup/src/app/dashboard/channels                                                                                 |          2 |        168 |          6 |         24 |        198 |
| tmp/frontend_backup/src/app/dashboard/knowledge-base                                                                           |          1 |        532 |         30 |         70 |        632 |
| tmp/frontend_backup/src/app/dashboard/plano                                                                                    |          1 |        273 |         20 |         27 |        320 |
| tmp/frontend_backup/src/app/login                                                                                              |          1 |         26 |          3 |          6 |         35 |
| tmp/frontend_backup/src/app/signup                                                                                             |          1 |         26 |          3 |          6 |         35 |
| tmp/frontend_backup/src/components                                                                                             |         65 |      9,741 |        271 |      1,034 |     11,046 |
| tmp/frontend_backup/src/components/agents                                                                                      |         13 |      2,474 |         72 |        265 |      2,811 |
| tmp/frontend_backup/src/components/agents (Files)                                                                              |          3 |      1,034 |         38 |         85 |      1,157 |
| tmp/frontend_backup/src/components/agents/wizard                                                                               |         10 |      1,440 |         34 |        180 |      1,654 |
| tmp/frontend_backup/src/components/agents/wizard (Files)                                                                       |          3 |        687 |         29 |         96 |        812 |
| tmp/frontend_backup/src/components/agents/wizard/steps                                                                         |          7 |        753 |          5 |         84 |        842 |
| tmp/frontend_backup/src/components/analytics                                                                                   |          5 |      1,376 |         60 |        159 |      1,595 |
| tmp/frontend_backup/src/components/attendants                                                                                  |          2 |        498 |          9 |         36 |        543 |
| tmp/frontend_backup/src/components/auth                                                                                        |          3 |        446 |          8 |         42 |        496 |
| tmp/frontend_backup/src/components/channels                                                                                    |          3 |      1,338 |         74 |        111 |      1,523 |
| tmp/frontend_backup/src/components/dashboard                                                                                   |          3 |        212 |          0 |         18 |        230 |
| tmp/frontend_backup/src/components/knowledge                                                                                   |          2 |        220 |          7 |         34 |        261 |
| tmp/frontend_backup/src/components/knowledge-base                                                                              |          1 |        325 |         20 |         40 |        385 |
| tmp/frontend_backup/src/components/landing                                                                                     |          7 |        896 |          7 |         70 |        973 |
| tmp/frontend_backup/src/components/layout                                                                                      |          1 |        123 |         11 |         20 |        154 |
| tmp/frontend_backup/src/components/providers                                                                                   |          1 |          7 |          0 |          3 |         10 |
| tmp/frontend_backup/src/components/ui                                                                                          |         24 |      1,826 |          3 |        236 |      2,065 |
| tmp/frontend_backup/src/contexts                                                                                               |          1 |         37 |          0 |          7 |         44 |
| tmp/frontend_backup/src/lib                                                                                                    |         17 |      2,233 |        303 |        540 |      3,076 |
| tmp/frontend_backup/src/lib (Files)                                                                                            |          3 |         95 |         17 |         25 |        137 |
| tmp/frontend_backup/src/lib/actions                                                                                            |          9 |      1,814 |        214 |        455 |      2,483 |
| tmp/frontend_backup/src/lib/security                                                                                           |          2 |        249 |         61 |         47 |        357 |
| tmp/frontend_backup/src/lib/supabase                                                                                           |          2 |         35 |          9 |          5 |         49 |
| tmp/frontend_backup/src/lib/utils                                                                                              |          1 |         40 |          2 |          8 |         50 |
| tmp/frontend_backup/src/stores                                                                                                 |          2 |        188 |         15 |         39 |        242 |
| tmp/frontend_backup/src/types                                                                                                  |          4 |         89 |          8 |         11 |        108 |
| web                                                                                                                            |        166 |     33,640 |      1,288 |      3,937 |     38,865 |
| web (Files)                                                                                                                    |         17 |     13,809 |         87 |      1,245 |     15,141 |
| web/migrations                                                                                                                 |          3 |        374 |         57 |         81 |        512 |
| web/nginx                                                                                                                      |          1 |        141 |         23 |         30 |        194 |
| web/public                                                                                                                     |          5 |          5 |          0 |          0 |          5 |
| web/src                                                                                                                        |        140 |     19,311 |      1,121 |      2,581 |     23,013 |
| web/src (Files)                                                                                                                |          2 |        106 |         23 |         17 |        146 |
| web/src/app                                                                                                                    |         26 |      2,991 |        197 |        374 |      3,562 |
| web/src/app (Files)                                                                                                            |          3 |        177 |          7 |         15 |        199 |
| web/src/app/api                                                                                                                |          6 |        430 |         34 |         80 |        544 |
| web/src/app/api/diag                                                                                                           |          1 |         32 |          2 |          6 |         40 |
| web/src/app/api/health                                                                                                         |          1 |         37 |          1 |          3 |         41 |
| web/src/app/api/knowledge-base                                                                                                 |          1 |        151 |         18 |         29 |        198 |
| web/src/app/api/rag                                                                                                            |          1 |         78 |          2 |         16 |         96 |
| web/src/app/api/setup-bucket                                                                                                   |          1 |         44 |          4 |         10 |         58 |
| web/src/app/api/whatsapp-proxy                                                                                                 |          1 |         88 |          7 |         16 |        111 |
| web/src/app/dashboard                                                                                                          |         15 |      2,331 |        149 |        267 |      2,747 |
| web/src/app/dashboard (Files)                                                                                                  |          2 |        180 |         12 |         16 |        208 |
| web/src/app/dashboard/agents                                                                                                   |          3 |        239 |         10 |         37 |        286 |
| web/src/app/dashboard/agents (Files)                                                                                           |          2 |        167 |          5 |         21 |        193 |
| web/src/app/dashboard/agents/[id]                                                                                              |          1 |         72 |          5 |         16 |         93 |
| web/src/app/dashboard/analytics                                                                                                |          2 |        195 |         12 |         28 |        235 |
| web/src/app/dashboard/attendants                                                                                               |          2 |        157 |         17 |         24 |        198 |
| web/src/app/dashboard/channels                                                                                                 |          2 |        162 |          6 |         24 |        192 |
| web/src/app/dashboard/knowledge-base                                                                                           |          1 |        530 |         31 |         70 |        631 |
| web/src/app/dashboard/messages                                                                                                 |          2 |        295 |         32 |         29 |        356 |
| web/src/app/dashboard/plano                                                                                                    |          1 |        573 |         29 |         39 |        641 |
| web/src/app/login                                                                                                              |          1 |         26 |          3 |          6 |         35 |
| web/src/app/signup                                                                                                             |          1 |         27 |          4 |          6 |         37 |
| web/src/components                                                                                                             |         78 |     11,502 |        351 |      1,211 |     13,064 |
| web/src/components/agents                                                                                                      |         13 |      2,543 |         73 |        266 |      2,882 |
| web/src/components/agents (Files)                                                                                              |          3 |      1,103 |         39 |         86 |      1,228 |
| web/src/components/agents/wizard                                                                                               |         10 |      1,440 |         34 |        180 |      1,654 |
| web/src/components/agents/wizard (Files)                                                                                       |          3 |        687 |         29 |         96 |        812 |
| web/src/components/agents/wizard/steps                                                                                         |          7 |        753 |          5 |         84 |        842 |
| web/src/components/analytics                                                                                                   |          5 |      1,338 |         59 |        152 |      1,549 |
| web/src/components/attendants                                                                                                  |          2 |        516 |          9 |         37 |        562 |
| web/src/components/auth                                                                                                        |          3 |        458 |          9 |         43 |        510 |
| web/src/components/channels                                                                                                    |          3 |      1,348 |         74 |        111 |      1,533 |
| web/src/components/cms                                                                                                         |          7 |        551 |         28 |         74 |        653 |
| web/src/components/cms (Files)                                                                                                 |          2 |        120 |          8 |         16 |        144 |
| web/src/components/cms/sections                                                                                                |          5 |        431 |         20 |         58 |        509 |
| web/src/components/dashboard                                                                                                   |          3 |        222 |          1 |         18 |        241 |
| web/src/components/knowledge                                                                                                   |          2 |        220 |          7 |         34 |        261 |
| web/src/components/knowledge-base                                                                                              |          1 |        325 |         20 |         40 |        385 |
| web/src/components/landing                                                                                                     |          7 |        934 |         14 |         74 |      1,022 |
| web/src/components/layout                                                                                                      |          3 |        171 |         13 |         36 |        220 |
| web/src/components/messaging                                                                                                   |          3 |        950 |         38 |         78 |      1,066 |
| web/src/components/providers                                                                                                   |          1 |          7 |          0 |          3 |         10 |
| web/src/components/ui                                                                                                          |         25 |      1,919 |          6 |        245 |      2,170 |
| web/src/contexts                                                                                                               |          1 |         37 |          0 |          7 |         44 |
| web/src/lib                                                                                                                    |         26 |      4,172 |        501 |        881 |      5,554 |
| web/src/lib (Files)                                                                                                            |          4 |        142 |         21 |         30 |        193 |
| web/src/lib/actions                                                                                                            |         14 |      3,205 |        331 |        700 |      4,236 |
| web/src/lib/billing                                                                                                            |          1 |        244 |         30 |         46 |        320 |
| web/src/lib/security                                                                                                           |          2 |        249 |         61 |         47 |        357 |
| web/src/lib/supabase                                                                                                           |          2 |         37 |         10 |          7 |         54 |
| web/src/lib/types                                                                                                              |          1 |        172 |         13 |         22 |        207 |
| web/src/lib/utils                                                                                                              |          2 |        123 |         35 |         29 |        187 |
| web/src/stores                                                                                                                 |          2 |        188 |         15 |         39 |        242 |
| web/src/types                                                                                                                  |          5 |        315 |         34 |         52 |        401 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/moura/projetos/projetos_web/nexus-agents/docs/DOCUMENTACAO_NEGOCIO.md                                                    | Markdown           |        646 |          0 |        198 |        844 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/DOCUMENTACAO_TECNICA.md                                                    | Markdown           |        581 |          0 |        139 |        720 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/MANUAL_DO_USUARIO.md                                                       | Markdown           |        457 |          0 |        146 |        603 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/beta-launch-plan.md                                                        | Markdown           |        704 |          0 |        187 |        891 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/beta-launch-traefik-guide.md                                               | Markdown           |        292 |          0 |        100 |        392 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/logging-system-manual.md                                                   | Markdown           |        581 |          0 |        146 |        727 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/planning.md                                                                | Markdown           |        617 |          0 |        112 |        729 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/project_specific_rules.md                                                  | Markdown           |        141 |          0 |         22 |        163 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-endpoints-report.md                                         | Markdown           |        298 |          0 |         82 |        380 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-report.md                                                   | Markdown           |        155 |          0 |         48 |        203 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-rls-real-state.md                                           | Markdown           |        145 |          0 |         61 |        206 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-rls-report.md                                               | Markdown           |        207 |          0 |         60 |        267 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-sec003-corrections.md                                       | Markdown           |        161 |          0 |         56 |        217 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-sec004-progress.md                                          | Markdown           |        149 |          0 |         47 |        196 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/security-audit-sec004-token-exposure.md                                    | Markdown           |        271 |          0 |        105 |        376 |
| /home/moura/projetos/projetos_web/nexus-agents/docs/task.md                                                                    | Markdown           |        471 |          0 |         95 |        566 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/db/migrations/wizard_seed_data.sql                                          | MS SQL             |        106 |          5 |          4 |        115 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/db/migrations/wizard_templates.sql                                          | MS SQL             |         60 |         11 |         10 |         81 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/.dockerignore                                               | Ignore             |         47 |         24 |         24 |         95 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/Dockerfile                                                  | Docker             |         41 |         10 |         17 |         68 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/README.md                                                   | Markdown           |         23 |          0 |         14 |         37 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/components.json                                             | JSON               |         21 |          0 |          0 |         21 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/docker-compose.traefik.yml                                  | YAML               |         72 |          9 |         11 |         92 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/docker-compose.yml                                          | YAML               |         60 |          0 |          5 |         65 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/eslint.config.mjs                                           | JavaScript         |         12 |          0 |          5 |         17 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/next.config.ts                                              | TypeScript         |          4 |          1 |          3 |          8 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/nginx/nginx.conf                                            | Properties         |        141 |         23 |         30 |        194 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/package-lock.json                                           | JSON               |      8,547 |          0 |          1 |      8,548 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/package.json                                                | JSON               |         60 |          0 |          1 |         61 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/portainer-stack.yml                                         | YAML               |         81 |         11 |         13 |        105 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/postcss.config.mjs                                          | JavaScript         |          4 |          0 |          2 |          6 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/file.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/globe.svg                                            | XML                |          1 |          0 |          0 |          1 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/next.svg                                             | XML                |          1 |          0 |          0 |          1 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/vercel.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/public/window.svg                                           | XML                |          1 |          0 |          0 |          1 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/health/route.ts                                 | TypeScript         |         35 |          1 |          3 |         39 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/knowledge-base/route.ts                         | TypeScript         |        151 |         18 |         29 |        198 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/rag/route.ts                                    | TypeScript         |         78 |          2 |         16 |         96 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/setup-bucket/route.ts                           | TypeScript         |         44 |          4 |         10 |         58 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/api/whatsapp-proxy/route.ts                         | TypeScript         |         88 |          7 |         16 |        111 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/[id]/page.tsx                      | TypeScript JSX     |         72 |          5 |         16 |         93 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/client-page.tsx                    | TypeScript JSX     |        169 |          1 |         17 |        187 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/agents/page.tsx                           | TypeScript JSX     |          9 |          4 |          4 |         17 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/attendants/client-page.tsx                | TypeScript JSX     |        165 |         13 |         18 |        196 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/attendants/page.tsx                       | TypeScript JSX     |          9 |          4 |          4 |         17 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/channels/client-page.tsx                  | TypeScript JSX     |        159 |          2 |         19 |        180 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/channels/page.tsx                         | TypeScript JSX     |          9 |          4 |          5 |         18 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/knowledge-base/page.tsx                   | TypeScript JSX     |        532 |         30 |         70 |        632 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/layout.tsx                                | TypeScript JSX     |        139 |          9 |         15 |        163 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/page.tsx                                  | TypeScript JSX     |        140 |         13 |         24 |        177 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/dashboard/plano/page.tsx                            | TypeScript JSX     |        273 |         20 |         27 |        320 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/globals.css                                         | PostCSS            |        119 |          1 |          7 |        127 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/layout.tsx                                          | TypeScript JSX     |         45 |          1 |          6 |         52 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/login/page.tsx                                      | TypeScript JSX     |         26 |          3 |          6 |         35 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/page.tsx                                            | TypeScript JSX     |         22 |          0 |          4 |         26 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/app/signup/page.tsx                                     | TypeScript JSX     |         26 |          3 |          6 |         35 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/AgentCard.tsx                         | TypeScript JSX     |        213 |          8 |         15 |        236 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/CreateAgentDialog.temp.tsx            | TypeScript JSX     |        383 |         12 |         33 |        428 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/CreateAgentDialog.tsx                 | TypeScript JSX     |        438 |         18 |         37 |        493 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentCreationWizard.temp.tsx   | TypeScript JSX     |        295 |         14 |         41 |        350 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentCreationWizard.tsx        | TypeScript JSX     |        207 |         13 |         32 |        252 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/AgentTemplateGallery.tsx       | TypeScript JSX     |        185 |          2 |         23 |        210 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ArchetypeSelector.tsx    | TypeScript JSX     |        182 |          1 |         19 |        202 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/BusinessStep.tsx         | TypeScript JSX     |         28 |          0 |          3 |         31 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ConversationFlows.tsx    | TypeScript JSX     |        164 |          2 |         17 |        183 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/PersonalityTraits.tsx    | TypeScript JSX     |        175 |          1 |         20 |        196 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ReviewPrompt.tsx         | TypeScript JSX     |        112 |          0 |          6 |        118 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/ReviewStep.tsx           | TypeScript JSX     |         56 |          0 |         10 |         66 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/agents/wizard/steps/index.d.ts               | TypeScript         |         36 |          1 |          9 |         46 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/AnalyticsCard.tsx                  | TypeScript JSX     |        346 |          3 |         27 |        376 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/AnalyticsDashboard.tsx             | TypeScript JSX     |         98 |          2 |         12 |        112 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/ConversationHeatmap.tsx            | TypeScript JSX     |        383 |         35 |         65 |        483 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/PeriodFilter.tsx                   | TypeScript JSX     |        181 |          1 |         16 |        198 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/analytics/ValueMetricsCard.tsx               | TypeScript JSX     |        368 |         19 |         39 |        426 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/attendants/AttendantCard.tsx                 | TypeScript JSX     |        164 |          1 |         11 |        176 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/attendants/CreateAttendantModal.tsx          | TypeScript JSX     |        334 |          8 |         25 |        367 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/LoginForm.tsx                           | TypeScript JSX     |        162 |          2 |         17 |        181 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/LogoutButton.tsx                        | TypeScript JSX     |         60 |          1 |          8 |         69 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/auth/SignUpForm.tsx                          | TypeScript JSX     |        224 |          5 |         17 |        246 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/ChannelCard.tsx                     | TypeScript JSX     |        411 |         20 |         36 |        467 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/CreateChannelDialog.tsx             | TypeScript JSX     |        519 |         14 |         26 |        559 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/channels/QRCodeModal.tsx                     | TypeScript JSX     |        408 |         40 |         49 |        497 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/StatCard.tsx                       | TypeScript JSX     |         69 |          0 |          5 |         74 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/TotalizadorCard.tsx                | TypeScript JSX     |         88 |          0 |          6 |         94 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/dashboard/TotalizadoresGrid.tsx              | TypeScript JSX     |         55 |          0 |          7 |         62 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge-base/CreateKnowledgeBaseDialog.tsx | TypeScript JSX     |        325 |         20 |         40 |        385 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge/KnowledgeBaseList.tsx              | TypeScript JSX     |        111 |          3 |         13 |        127 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/knowledge/KnowledgeBaseUploader.tsx          | TypeScript JSX     |        109 |          4 |         21 |        134 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/FeaturesSection.tsx                  | TypeScript JSX     |        134 |          2 |          8 |        144 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/Footer.tsx                           | TypeScript JSX     |        166 |          1 |         10 |        177 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/HeroSection.tsx                      | TypeScript JSX     |         79 |          0 |          9 |         88 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/HowItWorksSection.tsx                | TypeScript JSX     |        170 |          0 |         14 |        184 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/Navbar.tsx                           | TypeScript JSX     |        137 |          4 |         11 |        152 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/PricingSection.tsx                   | TypeScript JSX     |        127 |          0 |          9 |        136 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/landing/TestimonialsSection.tsx              | TypeScript JSX     |         83 |          0 |          9 |         92 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/layout/Header.tsx                            | TypeScript JSX     |        123 |         11 |         20 |        154 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/providers/ThemeProvider.tsx                  | TypeScript JSX     |          7 |          0 |          3 |         10 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/ui/alert-dialog.tsx                          | TypeScript JSX     |        143 |          0 |         15 |        158 |
| /home/moura/projetos/projetos_web/nexus-agents/tmp/frontend_backup/src/components/ui/alert.tsx                                 | TypeScript JSX     |         57 |          0 |          7 |         64 |
